Number,Gender,GivenName,Surname,StreetAddress,City,ZipCode,EmailAddress
639,female,Amy,Goldsmith,"3 Hunt Street",Rosedale,9810,AmyGoldsmith@dayrep.com
640,female,Madison,Everard,"184 Simmonds Crescent","Western Heights",3015,MadisonEverard@gustr.com
641,female,Claire,Lambrick,"145 Glen Road",Belleknowes,9011,ClaireLambrick@armyspy.com
642,female,Mary,Queale,"137 Montaine Place",Maungaturoto,0520,MaryQueale@fleckens.hu
643,female,Georgia,Boehm,"235 Trafalgar Street","Nelson South",7010,GeorgiaBoehm@dayrep.com
644,male,Tristan,Callinan,"165 Maple Close","Welcome Bay",3112,TristanCallinan@gustr.com
645,female,Lily,Rubeo,"145 Arnwood Street",Manurewa,2102,LilyRubeo@cuvox.de
646,male,Blake,Breinl,"34 Cecil Street","Trentham Military Camp",5018,BlakeBreinl@jourrapide.com
647,male,Hunter,Fosbery,"4 School Street","Pine Hill",9010,HunterFosbery@teleworm.us
648,male,Jonathan,Alice,"189 Arawa Street",Rotorua,3010,JonathanAlice@dayrep.com
649,male,Timothy,Wrigley,"34 Spurway Place",Mairehau,8013,TimothyWrigley@dayrep.com
650,female,Mackenzie,Bradfield,"127 Winifred Avenue",Totaravale,0629,MackenzieBradfield@rhyta.com
651,male,Leo,Smalley,"88 Karori Tunnel",Wilton,6012,LeoSmalley@teleworm.us
652,female,Brooke,Tracey,"184 Reyburn House Lane","Abbey Caves",0110,BrookeTracey@superrito.com
653,male,Ashton,Brier,"116 Korimako Street","West Brook",3015,AshtonBrier@cuvox.de
654,female,Lucy,Ayers,"209 Burns Avenue",Hauraki,0622,LucyAyers@cuvox.de
655,female,Stephanie,Finsch,"85 Desert Gold Street",Whitby,5024,StephanieFinsch@fleckens.hu
656,female,Laura,Sowerby,"208 Richmond Road",Clive,4102,LauraSowerby@jourrapide.com
657,male,Charlie,Monds,"41 East Tamaki Road",Golflands,2013,CharlieMonds@cuvox.de
658,male,Charles,McBeath,"187 Hugh Duncan Street",Ebdentown,5018,CharlesMcBeath@rhyta.com
659,male,Hugo,Lewin,"222 Western Hutt Road",Melling,5010,HugoLewin@teleworm.us
660,male,Brayden,Fiveash,"48 Blackwell Street",Marton,4710,BraydenFiveash@superrito.com
661,male,Jett,McCubbin,"183 Oakfield Crescent","Northgate Industrial",3200,JettMcCubbin@jourrapide.com
662,male,Jamie,Winder,"115 Tarata Street","Mt Eden",1024,JamieWinder@teleworm.us
663,female,Chelsea,Metcalfe,"155 Parkwood Place","Waimairi Beach",8083,ChelseaMetcalfe@cuvox.de
664,male,Timothy,Haining,"90 Seaview Road",Peria,0420,TimothyHaining@armyspy.com
665,male,Connor,Dexter,"18 Patmos Avenue",Wakari,9010,ConnorDexter@armyspy.com
666,male,Patrick,Holyman,"161 Hewett Way",Kaiwharawhara,6035,PatrickHolyman@jourrapide.com
667,male,Archer,Marina,"97 Ariki Place",Yaldhurst,8042,ArcherMarina@jourrapide.com
668,female,Laura,Saville-Kent,"236 Halstead Street",Stepheyville,7010,LauraSaville-Kent@rhyta.com
669,male,Levi,Linton,"138 Bannister Street","Te Ore Ore",5810,LeviLinton@fleckens.hu
670,male,Callum,Rosanove,"54 Epuni Street",Kingston,6021,CallumRosanove@armyspy.com
671,female,Alana,Gale,"198 Clark Street",Owaka,9535,AlanaGale@superrito.com
672,male,Ashton,Webster,"31 Martin Street",Hillcrest,3015,AshtonWebster@rhyta.com
673,male,Seth,Macnaghten,"228 Old North Road",Washdyke,7910,SethMacnaghten@rhyta.com
674,female,Charlotte,Rhodes,"147 Longwood Lane",Tauranga,3110,CharlotteRhodes@fleckens.hu
675,female,Sarah,Beach,"79 Margaret Place",Matokitoki,4010,SarahBeach@superrito.com
676,male,Samuel,Frame,"16 Station Road",Kensington,0112,SamuelFrame@rhyta.com
677,female,Sofia,George,"241 Stenhope Crescent",Waldronville,9018,SofiaGeorge@teleworm.us
678,female,Amelia,Cass,"158 Ashgrove Street",Rangiora,7400,AmeliaCass@einrot.com
679,male,Sebastian,Boothman,"160 Seadown Road",Washdyke,7910,SebastianBoothman@superrito.com
680,male,Declan,Ormond,"176 Corrin Street",Tamahere,3206,DeclanOrmond@cuvox.de
681,female,Maya,Humphries,"93 Oxford Street",Vogeltown,6021,MayaHumphries@dayrep.com
682,male,Charlie,Langford,"51 Kildare View",Waikiwi,9810,CharlieLangford@cuvox.de
683,male,Darcy,Gatehouse,"13 Smith Street","Waikato Hospital",3204,DarcyGatehouse@armyspy.com
684,male,Jonathan,Ormond,"204 Millstone Lane",Henderson,0612,JonathanOrmond@superrito.com
685,female,Zara,Bridges,"232 Egmont Street","St Johns Hill",4501,ZaraBridges@einrot.com
686,female,Laura,Cambridge,"114 Rothesay Lane",Bellevue,3110,LauraCambridge@superrito.com
687,female,Annabelle,Glynn,"50 Oxford Road",Springvale,4501,AnnabelleGlynn@einrot.com
688,female,Lauren,Harrap,"48 Colorado Grove","Mt Cook",6021,LaurenHarrap@gustr.com
689,female,Madeleine,Embling,"36 Pasteur Street",Wainui,4010,MadeleineEmbling@teleworm.us
690,female,Amelia,Brinsmead,"181 Lion Court","Riverstone Terraces",5018,AmeliaBrinsmead@einrot.com
691,male,Seth,Hordern,"181 Endeavour Street",Kilbirnie,6022,SethHordern@superrito.com
692,female,Chelsea,Kaberry,"164 Glenorchy Place","Western Heights",3200,ChelseaKaberry@dayrep.com
693,male,Brock,Ives,"149 Lorrigan Way","Welcome Bay",3112,BrockIves@teleworm.us
694,male,Riley,Thirkell,"148 Standish Place",Monaco,7011,RileyThirkell@fleckens.hu
695,male,Dominic,Boyes,"178 Moulton Street",Lynmouth,4310,DominicBoyes@cuvox.de
696,female,Ebony,Rodd,"215 La Colina Place","Motiti Island",3110,EbonyRodd@teleworm.us
697,male,Tyler,Hudson,"91 Ketenikau Road",Parahaki,0112,TylerHudson@superrito.com
698,male,Patrick,Bean,"218 Symonds Street",Epsom,1023,PatrickBean@jourrapide.com
699,male,Declan,Crombie,"110 Medbury Terrace",Riccarton,8041,DeclanCrombie@rhyta.com
700,female,Emma,Evenden,"68 Hertnon Street","Timaru Central",7910,EmmaEvenden@teleworm.us
701,female,Stephanie,Stapleton,"142 Cherwell Court","Nikau Valley",5032,StephanieStapleton@fleckens.hu
702,male,Sebastian,Yelverton,"145 Madison Place",Rongotai,6022,SebastianYelverton@dayrep.com
703,female,Gemma,Brunker,"207 Lett Road","Snells Beach",0920,GemmaBrunker@superrito.com
704,male,Hayden,Swanston,"229 Lemon Street","Otaki Beach",5512,HaydenSwanston@armyspy.com
705,male,Declan,Whitehouse,"127 Crayne Street",Solway,5810,DeclanWhitehouse@cuvox.de
706,male,Timothy,Wakefield,"209 Monash Street","Rakino Island",1010,TimothyWakefield@jourrapide.com
707,male,Riley,Clark,"116 Elsdon Best Street",Gisborne,4010,RileyClark@fleckens.hu
708,female,Piper,Boyer,"73 MacDiarmid Road",Beerescourt,3200,PiperBoyer@rhyta.com
709,male,Tyler,Snowball,"101 Brooklyn Road","Fairview Downs",3214,TylerSnowball@jourrapide.com
710,male,Harry,Geiger,"205 Elm Street",Whataupoko,4010,HarryGeiger@armyspy.com
711,male,Jayden,Massey,"16 Drummond Crescent","Harbour View",5010,JaydenMassey@dayrep.com
712,female,Mary,Lynch,"164 Malbec Place","Rototuna North",3210,MaryLynch@cuvox.de
713,male,Rory,Musquito,"136 Cranwell Street",Ohariu,6037,RoryMusquito@gustr.com
714,male,Jordan,Hagelthorn,"243 Sea Vista Drive",Camborne,5026,JordanHagelthorn@fleckens.hu
715,female,Caitlin,Brassey,"48 Kennedy Street","Saint Kilda",9012,CaitlinBrassey@superrito.com
716,male,Oscar,Pie,"72 Wayside West","Moa Point",6022,OscarPie@armyspy.com
717,female,Alice,Wicken,"203 Windsor Street",Levin,5510,AliceWicken@cuvox.de
718,male,Blake,Vance,"144 Penguin Drive",Waiake,0630,BlakeVance@jourrapide.com
719,male,Spencer,Foott,"167 Glenorchy Place","Avalon Industrial",3200,SpencerFoott@rhyta.com
720,female,Chelsea,Cosh,"199 Lysander Street",Stratford,4332,ChelseaCosh@fleckens.hu
721,female,Paige,Shang,"139 Pullar Place",Westbrook,3015,PaigeShang@dayrep.com
722,male,Logan,Perry,"20 Atherstone Lane",Alicetown,5010,LoganPerry@teleworm.us
723,male,Ryan,Hinder,"93 Bishop Croke Place",Burswood,2013,RyanHinder@superrito.com
724,female,Erin,Lyon,"110 Railway Road",Raumanga,0110,ErinLyon@einrot.com
725,female,Indiana,Quilty,"71 Penny Place",Waitarere,5510,IndianaQuilty@superrito.com
726,male,Lincoln,Wallwork,"35 Rosemary Avenue",Milford,0620,LincolnWallwork@fleckens.hu
727,female,Claudia,Chalmers,"153 Virginia Heights",Tawhero,4501,ClaudiaChalmers@cuvox.de
728,female,Jorja,Halley,"245 Queens Road",Merrilands,4312,JorjaHalley@rhyta.com
729,female,Claudia,Earle,"216 Burnham Street",Miramar,6022,ClaudiaEarle@rhyta.com
730,male,Jacob,Livingston,"223 Perotti Lane",Karoro,7805,JacobLivingston@cuvox.de
731,male,Brock,Makinson,"244 Lauriston Street",Musselburgh,9013,BrockMakinson@teleworm.us
732,male,Xavier,Pohlman,"155 Oakdale Street",Sockburn,8042,XavierPohlman@teleworm.us
733,male,Benjamin,Simoi,"212 Nicholls Lane",Grafton,1010,BenjaminSimoi@armyspy.com
734,female,Paige,Mackie,"123 Racecourse Road",Washdyke,7910,PaigeMackie@cuvox.de
735,male,Spencer,Haines,"244 Cornwall Street",Waitarere,5510,SpencerHaines@einrot.com
736,female,Olivia,Joyce,"192 Forfar Crescent",Strathern,9812,OliviaJoyce@teleworm.us
737,male,Ryan,Summerfield,"101 Pacific Parade",Coastlands,3120,RyanSummerfield@cuvox.de
738,male,Noah,McIlwraith,"96 Taiaroa Street",Seatoun,6022,NoahMcIlwraith@fleckens.hu
739,male,Jaxon,Harpur,"97 Marina Grove",Marfell,4310,JaxonHarpur@rhyta.com
740,male,Nathan,Edmund,"114 Glendale Grove",Glenside,6037,NathanEdmund@rhyta.com
741,female,Savannah,Ievers,"245 Mahunga Drive","Mangere East",2024,SavannahIevers@teleworm.us
742,male,Aidan,Lorimer,"67 Wahanui Road","One Tree Hill",1061,AidanLorimer@einrot.com
743,female,Savannah,MacLaurin,"136 Kilgour Street","Halfway Bush",9010,SavannahMacLaurin@teleworm.us
744,male,Jackson,Kellway,"246 Somerset Place",Pirimai,4112,JacksonKellway@cuvox.de
745,female,Claudia,Stretch,"160 Maire Street",Pahiatua,4910,ClaudiaStretch@cuvox.de
746,female,Lara,Parsons,"154 Kaka Street",Pukehangi,3015,LaraParsons@fleckens.hu
747,female,Sarah,Chewings,"209 Weka Street",Taihape,4720,SarahChewings@fleckens.hu
748,female,Isabella,Boothby,"21 Marion Avenue","Mt Roskill",1041,IsabellaBoothby@superrito.com
749,female,Kate,Woodbury,"8 Baltimore Crescent",Pakuratahi,5018,KateWoodbury@teleworm.us
750,female,Natasha,Brydon,"29 Murray Road",Mangakakahi,3015,NatashaBrydon@armyspy.com
751,male,Owen,Brownlow,"69 Totara Road","Stanmore Bay",0932,OwenBrownlow@gustr.com
752,female,Gemma,Wintle,"244 West Harbour Drive","West Harbour",0618,GemmaWintle@superrito.com
753,male,Brock,Stephens,"111 Kent Street",Parkvale,5713,BrockStephens@teleworm.us
754,male,Xavier,Gisborne,"153 Beryl Grove","Upper Hutt Central",5018,XavierGisborne@fleckens.hu
755,female,Claudia,Repin,"45 Wallace Street",Fairview,7910,ClaudiaRepin@rhyta.com
756,male,Jacob,Carnarvon,"230 Upper Walmsley Road",Waihi,3610,JacobCarnarvon@armyspy.com
757,female,Gabriella,Richardson,"157 Mary Street",Yelverton,7201,GabriellaRichardson@dayrep.com
758,female,Lucinda,Shiers,"194 Ingestre Street",Kingston,6021,LucindaShiers@teleworm.us
759,male,Flynn,Kilvington,"85 Chilcombe Street","Upper Riccarton",8041,FlynnKilvington@jourrapide.com
760,male,Aiden,Tunbridge,"134 Willis Street","Te Aro",6011,AidenTunbridge@dayrep.com
761,male,Patrick,Macnaghten,"214 Miro Street","Maori Park",7910,PatrickMacnaghten@rhyta.com
762,male,Aaron,Lihou,"30 Oreil Avenue","West Harbour",0618,AaronLihou@fleckens.hu
763,male,Cooper,Macdowell,"115 Arran Road",Waiake,0630,CooperMacdowell@rhyta.com
764,female,Ashley,O'Meara,"13 Crawford Grove",Epuni,5011,AshleyOMeara@fleckens.hu
765,male,Archie,Macnaghten,"168 Chadwick Road",Hairini,3112,ArchieMacnaghten@dayrep.com
766,male,Gabriel,Rickard,"198 Swanson Road",Massey,0614,GabrielRickard@teleworm.us
767,female,Bella,Luttrell,"231 Karaka Road",Thames,3500,BellaLuttrell@einrot.com
768,male,Tyler,Forwood,"85 St John Street",Pipitea,6011,TylerForwood@cuvox.de
769,male,Andrew,Remington,"159 Jefferson Street",Hataitai,6021,AndrewRemington@gustr.com
770,female,Amy,Dixson,"28 Rodney Street",Camberley,4120,AmyDixson@dayrep.com
771,female,Ebony,Thorpe,"16 Elsdon Best Street",Okitu,4010,EbonyThorpe@teleworm.us
772,male,Andrew,Owens,"245 King George Place",Smithfield,7910,AndrewOwens@teleworm.us
773,male,Adam,Powers,"188 Nikau Street","Lowry Bay",5013,AdamPowers@jourrapide.com
774,female,Mia,Sherlock,"35 Park Avenue",Kamo,0112,MiaSherlock@einrot.com
775,male,Tyson,Tjangamarra,"134 Hogarth Rise",Hobsonville,0618,TysonTjangamarra@teleworm.us
776,female,Victoria,Meeks,"235 Exeter Street","Whalers Gate",4310,VictoriaMeeks@teleworm.us
777,female,Abby,Gardner,"17 Turner Place","Wither Hills Park",7201,AbbyGardner@rhyta.com
778,male,Dean,McCarten,"67 New North Road",Sandringham,1025,DeanMcCarten@superrito.com
779,female,Abbey,Callaway,"214 Elmes Place",Matua,3110,AbbeyCallaway@rhyta.com
780,female,Jorja,Duffy,"41 Alexander Street","West End",4412,JorjaDuffy@teleworm.us
781,male,Jamie,Cowper,"59 Alexandra Street",Smithfield,7910,JamieCowper@fleckens.hu
782,male,Dylan,Duncombe,"108 Sefton Street",Kelburn,6012,DylanDuncombe@gustr.com
783,female,Angelina,Trundle,"66 Stratheona Road","Pleasant Point",7903,AngelinaTrundle@gustr.com
784,male,Nathan,Ride,"119 Warangi Street",Waiwhakaiho,4312,NathanRide@armyspy.com
785,male,Spencer,Lay,"154 Gosport Street",Bexley,8061,SpencerLay@jourrapide.com
786,female,Maya,McCormack,"137 Rosebank Place",Epuni,5011,MayaMcCormack@dayrep.com
787,male,Harrison,Cavenagh,"137 Moffitt Street",Vogeltown,6021,HarrisonCavenagh@armyspy.com
788,female,Grace,Girdlestone,"148 Bridger Lane","Port Taranaki",4310,GraceGirdlestone@gustr.com
789,female,Sienna,Steere,"213 Bolero Place","North Beach",8083,SiennaSteere@einrot.com
790,male,Mitchell,Dhakiyarr,"179 William Street",Newfield,9812,MitchellDhakiyarr@armyspy.com
791,female,Ella,Laidlaw,"99 Owaka Close",Tirohanga,5010,EllaLaidlaw@fleckens.hu
792,female,Amy,Boucher,"16 George Street","Anderson Park",9810,AmyBoucher@rhyta.com
793,male,Sam,Cecilia,"214 Croft Grove",Maungaraki,5010,SamCecilia@armyspy.com
794,male,Hunter,Hazon,"72 Doyle Place",Avonside,8061,HunterHazon@armyspy.com
795,male,Justin,Icely,"157 Waterfall Road","Nikau Valley",5032,JustinIcely@einrot.com
796,male,James,Tripp,"138 Kirkwood Lane",Lorneville,9810,JamesTripp@einrot.com
797,female,Mia,Anthony,"167 McArtney Street","Wither Hills Park",7201,MiaAnthony@dayrep.com
798,male,Benjamin,Ellen,"223 Beckham Place","Auckland Central",1010,BenjaminEllen@fleckens.hu
799,male,Tristan,Torr,"189 High Street","Abbey Caves",0110,TristanTorr@gustr.com
800,female,Layla,Wawn,"163 Atarua Way",Huia,0604,LaylaWawn@gustr.com
801,male,Luke,Solander,"8 Ridd Street",Moturoa,4310,LukeSolander@jourrapide.com
802,female,Alyssa,Iverson,"193 Willowpark Road North",Akina,4122,AlyssaIverson@cuvox.de
803,female,Alexis,Hodge,"92 Farmers Lane",Pipitea,6011,AlexisHodge@teleworm.us
804,male,Jasper,Burrowes,"174 New Street","St Marys Bay",1011,JasperBurrowes@armyspy.com
805,female,Gabriella,Duckworth,"56 Koru Place",Annesbrook,7011,GabriellaDuckworth@einrot.com
806,male,Luke,Fitzsimons,"11 Tuai Street",Avenal,9810,LukeFitzsimons@superrito.com
807,male,Christian,Walpole,"196 Ivory Street",Fernside,7400,ChristianWalpole@jourrapide.com
808,male,Marcus,Sissons,"235 Burleigh Road",Mayfield,7201,MarcusSissons@cuvox.de
809,male,Liam,O'Dowd,"207 English Street","Te Rapa Straight",3200,LiamODowd@dayrep.com
810,female,Mackenzie,Rusconi,"180 Baigent Road","Nelson Airport",7011,MackenzieRusconi@rhyta.com
811,female,Sofia,Gallop,"145 Masefield Avenue",Ponsonby,1011,SofiaGallop@armyspy.com
812,male,Hamish,Chowne,"120 Ngamotu Place","Mt Maunganui",3116,HamishChowne@gustr.com
813,male,Ashton,Want,"201 Calypso Rise",Queenwood,3210,AshtonWant@teleworm.us
814,male,Anthony,Hodgkinson,"11 Centre Walk","Upper Hutt Central",5018,AnthonyHodgkinson@teleworm.us
815,male,Jai,Dun,"39 Banff Street",Parahaki,0112,JaiDun@armyspy.com
816,female,Summer,Denman,"156 Peterhead Place",Raureka,4120,SummerDenman@gustr.com
817,male,David,Leon,"106 Aroha View Avenue","Te Aroha",3320,DavidLeon@jourrapide.com
818,female,Zoe,Teague,"193 Spartan Road","The Gardens",2105,ZoeTeague@teleworm.us
819,female,Alannah,Despeissis,"103 Bowen Street","Bluff Hill",4110,AlannahDespeissis@gustr.com
820,male,Harrison,Leeson,"176 Rawlings Street",Bader,3206,HarrisonLeeson@armyspy.com
821,male,Luke,Lyng,"43 Thelma Crescent","Rothesay Bay",0630,LukeLyng@fleckens.hu
822,female,Hayley,Lamble,"176 Hermond Street",Mornington,9011,HayleyLamble@dayrep.com
823,male,Ben,Kent,"225 Collier Avenue",Wilton,6012,BenKent@gustr.com
824,female,Alexis,Coward,"199 Paynes Gully Road",Rutherglen,7805,AlexisCoward@armyspy.com
825,male,Beau,Menhennitt,"30 Matai Street",Lansdowne,5810,BeauMenhennitt@dayrep.com
826,male,Hudson,Thynne,"229 Fulton Street",Islington,7201,HudsonThynne@dayrep.com
827,male,Nate,Treloar,"245 George Street",Fairview,7910,NateTreloar@armyspy.com
828,female,Erin,Noack,"112 George Street",Raetihi,4632,ErinNoack@armyspy.com
829,female,Holly,Birchell,"135 Ranolf Street",Koutu,3010,HollyBirchell@gustr.com
830,female,Bianca,Stonehouse,"57 Katoa Street",Westmere,1022,BiancaStonehouse@armyspy.com
831,female,Imogen,Falstein,"173 Brunswick Street",Oceanview,7910,ImogenFalstein@cuvox.de
832,male,Zane,Sheahan,"232 Prosford Street","Herne Bay",1011,ZaneSheahan@superrito.com
833,female,Olivia,Clegg,"246 Collins Street",Gleniti,7910,OliviaClegg@armyspy.com
834,female,Eden,Partridge,"119 Refreshment Place","Kingsley Heights",5018,EdenPartridge@gustr.com
835,male,Declan,Fitzpatrick,"78 Battys Road",Riverlands,7201,DeclanFitzpatrick@einrot.com
836,female,Kayla,Ferrari,"180 Neave Place",Halswell,8025,KaylaFerrari@cuvox.de
837,female,Brooke,Ross-King,"42 Rawson Street New",Styx,8083,BrookeRoss-King@teleworm.us
838,female,Eve,Fuhrman,"234 Milson Drive",Papakura,2110,EveFuhrman@superrito.com
839,male,Austin,Hopley,"73 St Clair Place","Browns Bay",0630,AustinHopley@armyspy.com
840,female,Mariam,Annand,"122 Ladies Mile","Gulf Harbour",0930,MariamAnnand@superrito.com
841,male,Taj,Lowes,"134 Thames Street","Oamaru North",9400,TajLowes@einrot.com
842,male,Hugo,Gilruth,"34 Glen Road",Dunganville,7805,HugoGilruth@fleckens.hu
843,female,Madeleine,Hinton,"78 Riverside Lane","New Brighton",8083,MadeleineHinton@gustr.com
844,female,Kiara,Tomlinson,"127 Thomas Crescent",Tihoitonga,3015,KiaraTomlinson@rhyta.com
845,female,Lucy,Hague,"131 Cindy Place","Pakuranga Heights",2010,LucyHague@dayrep.com
846,male,Timothy,Georgina,"188 Shaw Road",Laingholm,0604,TimothyGeorgina@teleworm.us
847,female,Alyssa,Walkom,"74 Alba Street",Marfell,4310,AlyssaWalkom@einrot.com
848,female,Chelsea,Ervin,"74 Okahu Street",Orakei,1071,ChelseaErvin@armyspy.com
849,male,Jackson,Perkins,"143 D'Urville Way","Pyes Pa",3112,JacksonPerkins@rhyta.com
850,female,Kiara,Steel,"205 Hamiora Place",Ngapuna,3010,KiaraSteel@fleckens.hu
851,female,Lucy,Brownlee,"106 Carlisle Place","Timaru Port",7910,LucyBrownlee@rhyta.com
852,female,Abbey,Rowntree,"176 Sanders Avenue",Maraenui,4110,AbbeyRowntree@jourrapide.com
853,male,Hayden,Wright,"71 Talbot Street",Avenal,9810,HaydenWright@teleworm.us
854,male,Ashton,Armfield,"87 Radiata Avenue",Marshland,8083,AshtonArmfield@dayrep.com
855,female,Jorja,Woolcock,"229 Peninsula Beach Road",Roseneath,9023,JorjaWoolcock@rhyta.com
856,male,Aiden,Sisley,"147 Wattle Place",Chedworth,3210,AidenSisley@cuvox.de
857,female,Hayley,Macnaghten,"14 Forres Street","Wanganui East",4500,HayleyMacnaghten@dayrep.com
858,female,Brianna,Woodcock,"212 Peter Place",Springfield,3015,BriannaWoodcock@rhyta.com
859,male,Xavier,Fewings,"147 Anson Place","Upper Vogeltown",4310,XavierFewings@rhyta.com
860,male,Oscar,Kellow,"24 Tiniroa Grove","Stokes Valley",5019,OscarKellow@fleckens.hu
861,male,Rory,Triggs,"195 Matuku Place","Raumati South",5032,RoryTriggs@einrot.com
862,female,Ashley,Lilley,"220 Taieri Crescent",Melling,5010,AshleyLilley@dayrep.com
863,female,Ella,Flanagan,"115 Everest Street",Broadmeadows,6035,EllaFlanagan@superrito.com
864,female,Alexis,Blamey,"214 Woodstock Road","Forrest Hill",0620,AlexisBlamey@armyspy.com
865,female,Sophie,O'Shane,"219 Toroa Street","Murrays Bay",0630,SophieOShane@gustr.com
866,male,Jacob,Don,"1 Holdens Road",Ranui,0612,JacobDon@gustr.com
867,female,Mary,Lew,"137 Jackson Street","Invercargill Central",9810,MaryLew@fleckens.hu
868,male,Cody,Richardson,"128 Calgary Place",Hornby,8042,CodyRichardson@armyspy.com
869,female,Zoe,Bremer,"37 Marshall Street",Woodend,9812,ZoeBremer@teleworm.us
870,male,Sean,Berrick,"70 Churchill Crescent","Wanganui Airport",4501,SeanBerrick@einrot.com
871,female,Angelina,Lovekin,"129 Medbury Terrace",Ilam,8041,AngelinaLovekin@cuvox.de
872,male,Ethan,Coldham,"37 Colville Street",Masterton,5810,EthanColdham@rhyta.com
873,female,Zara,Don,"131 Natalie Street",Wakapuaka,7010,ZaraDon@gustr.com
874,male,Gabriel,Southwell,"224 Old Farm Road",Riverlea,3216,GabrielSouthwell@superrito.com
875,female,Ebony,Winston,"206 SH 2",Hairini,3112,EbonyWinston@einrot.com
876,female,Eden,Bracker,"138 Cornhill Street",Normanby,9010,EdenBracker@dayrep.com
877,female,Samantha,Manifold,"245 Dianthus Place","Rothesay Bay",0630,SamanthaManifold@dayrep.com
878,male,Taj,Horsley,"114 Santa Barbara Drive",Kairua,3118,TajHorsley@einrot.com
879,female,Jasmine,Morisset,"36 Glenbervie Terrace",Roseneath,6011,JasmineMorisset@fleckens.hu
880,female,Alannah,Hanger,"26 Martin Street",Greenmeadows,4112,AlannahHanger@fleckens.hu
881,male,Ben,Clifton,"49 Lamb Terrace","Hospital Hill",4110,BenClifton@teleworm.us
882,female,Emma,Byron,"75 Morrington Terrace",Witherlea,7201,EmmaByron@dayrep.com
883,male,Brodie,Becher,"23 Quebec Road",Stepheyville,7010,BrodieBecher@fleckens.hu
884,male,Brock,Binney,"107 Leithen Street",Avalon,5011,BrockBinney@fleckens.hu
885,male,Zane,McBride,"95 Moana Terrace",Ngapuna,3010,ZaneMcBride@gustr.com
886,male,Hamish,Wallace,"177 Jacaranda Grove",Moera,5010,HamishWallace@armyspy.com
887,female,Alice,Deffell,"172 Johannes Court","Te Rapa Straight",3200,AliceDeffell@rhyta.com
888,male,Hugo,Kinnear,"228 Fountain Place","Nelson South",7010,HugoKinnear@teleworm.us
889,male,Callum,Coombes,"183 Raiomiti Street","Bell Block",4312,CallumCoombes@rhyta.com
890,male,Xavier,Moyes,"240 Havelock Street","West End",7910,XavierMoyes@armyspy.com
891,male,Cameron,Stones,"161 Beach Front Lane","Campbells Bay",0630,CameronStones@cuvox.de
892,female,Maddison,Keene,"99 Elder Place","Waimairi Beach",8083,MaddisonKeene@teleworm.us
893,female,Hayley,Fergusson,"21 Gila Place",Weymouth,2103,HayleyFergusson@teleworm.us
894,male,Zane,Glover,"232 Charthouse Lane",Whitby,5024,ZaneGlover@einrot.com
895,male,Brodie,Weingarth,"129 Handel Close",Casebrook,8051,BrodieWeingarth@dayrep.com
896,male,James,Beveridge,"187 Limerick Place",Manukau,2016,JamesBeveridge@jourrapide.com
897,female,Ella,Barbour,"115 Fleetwood Drive","Henderson Valley",0612,EllaBarbour@fleckens.hu
898,male,Oscar,Blackman,"73 Stilwell Road",Sandringham,1025,OscarBlackman@fleckens.hu
899,male,Justin,Salomons,"227 Maghera Drive",Manukau,2016,JustinSalomons@superrito.com
900,male,Logan,Jordan,"141 Cuba Street",Cloverlea,4412,LoganJordan@dayrep.com
901,male,Logan,Costello,"96 Allison Street","College Estate",4500,LoganCostello@rhyta.com
902,female,Gabrielle,Want,"125 Herald Place","Clover Park",2023,GabrielleWant@gustr.com
903,female,Scarlett,Maddock,"225 Matuku Street","Selwyn Heights",3015,ScarlettMaddock@superrito.com
904,female,Hannah,Hargrave,"18 Hakanoa Street","Eden Terrace",1021,HannahHargrave@gustr.com
905,male,Charlie,Learmonth,"165 Kirkpatrick Place","Havelock North",4130,CharlieLearmonth@fleckens.hu
906,male,Leo,Melocco,"32 Jason Avenue","Mt Albert",1025,LeoMelocco@jourrapide.com
907,male,Noah,Ashby,"201 Sutter Street","Maori Park",7910,NoahAshby@rhyta.com
908,female,Piper,Dunshea,"180 Lynda Avenue",Paparangi,6037,PiperDunshea@fleckens.hu
909,male,Toby,Nathan,"125 Coletta Lane","Te Atatu Peninsula",0610,TobyNathan@dayrep.com
910,female,Piper,McCready,"76 Wanaka Terrace","Bell Block",4312,PiperMcCready@rhyta.com
911,female,Stella,Huish,"38 Storey Avenue",Beerescourt,3200,StellaHuish@rhyta.com
912,female,Sienna,Mofflin,"32 Toi Street",Balgownie,4501,SiennaMofflin@rhyta.com
913,male,Jayden,Moriarty,"237 James Street",Maraetotara,3120,JaydenMoriarty@einrot.com
914,male,Angus,Vanzetti,"239 Chipping Lane","Mcleans Island",8051,AngusVanzetti@superrito.com
915,female,Tahlia,Wanganeen,"247 Melrose Street","Roxburgh East",9500,TahliaWanganeen@rhyta.com
916,male,Jasper,McBeath,"233 Cole Street",Waterloo,5011,JasperMcBeath@cuvox.de
917,male,Zachary,Allan,"231 Millward Street","Durie Hill",4500,ZacharyAllan@gustr.com
918,male,Mitchell,Somerset,"115 Station Road",Caversham,9012,MitchellSomerset@teleworm.us
919,male,Beau,MacCarthy,"146 Munro Place",Flagstaff,3210,BeauMacCarthy@rhyta.com
920,male,Benjamin,McKean,"75 Condell Avenue",Russley,8053,BenjaminMcKean@rhyta.com
921,male,Darcy,"Del Fabbro","74 MacDonald Street",Scarborough,7910,DarcyDelFabbro@armyspy.com
